req_id,story_id,component_id,interface_name,acceptance_test_path
REQ-AADAC4,STORY-e14873,CMP-aa1be2,IGameInitializer,design/tests/acceptance/AcceptanceTests.cs
REQ-AFFA38,STORY-e14873,CMP-aa1be2,IGameInitializer,design/tests/acceptance/AcceptanceTests.cs
REQ-07C0B4,STORY-f2c977,CMP-bb2c3d,IGameRenderer,design/tests/acceptance/AcceptanceTests.cs
REQ-82B4D1,STORY-f2c977,CMP-bb2c3d,IGameRenderer,design/tests/acceptance/AcceptanceTests.cs
REQ-16D6CB,STORY-46eb4e,CMP-bb2c3d,IGameRenderer,design/tests/acceptance/AcceptanceTests.cs
REQ-05A20B,STORY-46eb4e,CMP-bb2c3d,IGameRenderer,design/tests/acceptance/AcceptanceTests.cs
REQ-AAF862,STORY-6ff1f2,CMP-cc3d4e,IGameLoop,design/tests/acceptance/AcceptanceTests.cs
REQ-3906FD,STORY-60ea4b,CMP-cc3d4e,IGameLoop,design/tests/acceptance/AcceptanceTests.cs
REQ-264497,STORY-60ea4b,CMP-cc3d4e,IGameLoop,design/tests/acceptance/AcceptanceTests.cs
REQ-33C367,STORY-66cc46,CMP-dd4e5f,ITestEnvironment,design/tests/acceptance/AcceptanceTests.cs
REQ-3857A0,STORY-66cc46,CMP-dd4e5f,ITestEnvironment,design/tests/acceptance/AcceptanceTests.cs
REQ-874B54,STORY-84e39f,CMP-ee5f60,ITestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-915D4B,STORY-84e39f,CMP-ee5f60,ITestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-B95A16,STORY-84e39f,CMP-ee5f60,ITestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-95C535,STORY-7cdf75,CMP-ff6071,IDocumentation,design/tests/acceptance/AcceptanceTests.cs
