req_id,story_id,component_id,interface_name,acceptance_test_path
REQ-077E89,STORY-43ac67,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-61A105,STORY-43ac67,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-9463A3,STORY-43ac67,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-7B8D30,STORY-43ac67,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-77D5D3,STORY-43ac67,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-D70100,STORY-43ac67,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-68475D,STORY-d7cd6a,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-DEEA15,STORY-d7cd6a,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-995830,STORY-834b3a,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-A617E0,STORY-834b3a,CMP-a1b2c3,IPlayerMovement,design/tests/acceptance/AcceptanceTests.cs
REQ-12A97B,STORY-2ca379,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-14DD79,STORY-2ca379,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-E75BF0,STORY-2ca379,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-F869F1,STORY-2ca379,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-AB8DAB,STORY-b90a87,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-D6D25F,STORY-b90a87,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-6C4582,STORY-b90a87,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-EFF78E,STORY-b90a87,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-201AD6,STORY-b90a87,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-398CFE,STORY-b90a87,CMP-d4e5f6,IWallBoundary,design/tests/acceptance/AcceptanceTests.cs
REQ-14E1B4,STORY-576739,CMP-789abc,IMovementTestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-900635,STORY-576739,CMP-789abc,IMovementTestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-4D064A,STORY-576739,CMP-789abc,IMovementTestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-BE9F8B,STORY-576739,CMP-789abc,IMovementTestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-7CE888,STORY-b80dc0,CMP-789abc,IMovementTestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-E37D72,STORY-b80dc0,CMP-789abc,IMovementTestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-146585,STORY-1d2796,CMP-789abc,IMovementTestSuite,design/tests/acceptance/AcceptanceTests.cs
REQ-ADA63A,STORY-1d2796,CMP-789abc,IMovementTestSuite,design/tests/acceptance/AcceptanceTests.cs
