req_id,artifact_path,line,kind
REQ-001,tests/acceptance/Acceptance.cs,11,failing-test
REQ-001,tests/acceptance/Acceptance.cs,15,failing-test
REQ-002,tests/acceptance/Acceptance.cs,18,failing-test
REQ-002,tests/acceptance/Acceptance.cs,22,failing-test
REQ-003,tests/acceptance/Acceptance.cs,25,failing-test
REQ-003,tests/acceptance/Acceptance.cs,29,failing-test
REQ-004,tests/acceptance/Acceptance.cs,32,failing-test
REQ-004,tests/acceptance/Acceptance.cs,36,failing-test
REQ-005,tests/acceptance/Acceptance.cs,39,failing-test
REQ-005,tests/acceptance/Acceptance.cs,43,failing-test
REQ-006,tests/acceptance/Acceptance.cs,46,failing-test
REQ-006,tests/acceptance/Acceptance.cs,50,failing-test
REQ-007,tests/acceptance/Acceptance.cs,53,failing-test
REQ-007,tests/acceptance/Acceptance.cs,57,failing-test
REQ-008,tests/acceptance/Acceptance.cs,60,failing-test
REQ-008,tests/acceptance/Acceptance.cs,64,failing-test
REQ-009,tests/acceptance/Acceptance.cs,67,failing-test
REQ-009,tests/acceptance/Acceptance.cs,71,failing-test
REQ-010,tests/acceptance/Acceptance.cs,74,failing-test
REQ-010,tests/acceptance/Acceptance.cs,78,failing-test
REQ-011,tests/acceptance/Acceptance.cs,81,failing-test
REQ-011,tests/acceptance/Acceptance.cs,85,failing-test
REQ-012,tests/acceptance/Acceptance.cs,88,failing-test
REQ-012,tests/acceptance/Acceptance.cs,92,failing-test
REQ-013,tests/acceptance/Acceptance.cs,95,failing-test
REQ-013,tests/acceptance/Acceptance.cs,99,failing-test
REQ-014,tests/acceptance/Acceptance.cs,102,failing-test
REQ-014,tests/acceptance/Acceptance.cs,106,failing-test
REQ-015,tests/acceptance/Acceptance.cs,109,failing-test
REQ-015,tests/acceptance/Acceptance.cs,113,failing-test
REQ-016,tests/acceptance/Acceptance.cs,116,failing-test
REQ-016,tests/acceptance/Acceptance.cs,120,failing-test
REQ-017,tests/acceptance/Acceptance.cs,123,failing-test
REQ-017,tests/acceptance/Acceptance.cs,127,failing-test
REQ-018,tests/acceptance/Acceptance.cs,130,failing-test
REQ-018,tests/acceptance/Acceptance.cs,134,failing-test
REQ-019,tests/acceptance/Acceptance.cs,137,failing-test
REQ-019,tests/acceptance/Acceptance.cs,141,failing-test
REQ-020,tests/acceptance/Acceptance.cs,144,failing-test
